num_kills,weapon_name,attacker_weapon_id,vehicle,vehicle_slot_id,weapon_faction,target
9227,C-4,432,,0,None,Sunderer
6016,NS Decimator,50560,,0,None,Sunderer
5652,P2-120 AP,4008,Prowler,1,TR,Sunderer
4545,Tank Mine,650,,0,None,Sunderer
4404,Rocklet Rifle,804940,,0,NC,Sunderer
4381,Supernova FPC,3460,Magrider,1,VS,Sunderer
3830,Titan-150 AP,3730,Vanguard,1,NC,Sunderer
3813,Rocklet Rifle,802768,,0,VS,Sunderer
3762,Rocklet Rifle,804939,,0,TR,Sunderer
3352,L100 Python AP,3103,Lightning,1,VS,Sunderer
2970,L100 Python AP,3104,Lightning,1,NC,Sunderer
2666,Suicide,0,,,,Sunderer
2540,L100 Python AP,3105,Lightning,1,TR,Sunderer
1814,Shrike,84,,0,NC,Sunderer
1631,C75 Viper,3102,Lightning,1,TR,Sunderer
1631,C75 Viper,3101,Lightning,1,NC,Sunderer
1582,S1,86,,0,VS,Sunderer
1559,C75 Viper,3100,Lightning,1,VS,Sunderer
1558,ML-7,85,,0,TR,Sunderer
1338,L100 Python HEAT,3157,Lightning,1,NC,Sunderer
1325,L100 Python HEAT,3156,Lightning,1,VS,Sunderer
1293,G20 Vulcan-H,6121,Harasser,1,TR,Sunderer
1284,E540 Halberd-H,6120,Harasser,1,TR,Sunderer
1164,Titan-150 HEAT,3700,Vanguard,1,NC,Sunderer
955,C150 Dalton,5225,Liberator,2,NC,Sunderer
946,NS Annihilator ,50561,,0,None,Sunderer
941,Saron HRB,3442,Magrider,2,VS,Sunderer
939,L100 Python HEAT,3158,Lightning,1,TR,Sunderer
922,C150 Dalton,5226,Liberator,2,TR,Sunderer
920,Hunter QCX,2308,,0,None,Sunderer
919,Hornet Missiles,5051,Mosquito,2,TR,Sunderer
834,Supernova PC,3400,Magrider,1,VS,Sunderer
832,C150 Dalton,5224,Liberator,2,VS,Sunderer
826,P2-120 HEAT,4000,Prowler,1,TR,Sunderer
817,NSX Masamune,804179,,0,None,Sunderer
793,E540 Halberd,3441,Magrider,2,VS,Sunderer
748,E540 Halberd,4015,Prowler,2,TR,Sunderer
746,P2-120 HESH,4009,Prowler,1,TR,Sunderer
745,E540 Halberd-H,6119,Harasser,1,NC,Sunderer
717,T2 Striker,34002,,0,TR,Sunderer
708,Saron HRB-H,6126,Harasser,1,VS,Sunderer
699,NC15 Phoenix,33002,,0,NC,Sunderer
690,MR11 Gatekeeper,802874,Prowler,2,TR,Sunderer
682,C-4 ARX,800623,,0,None,Sunderer
677,Cortium Bomb,6009069,,0,None,Sunderer
649,Hornet Missiles,4446,Scythe,2,VS,Sunderer
643,Halberd SE,6006400,Magrider,2,VS,Sunderer
641,E540 Halberd,3709,Vanguard,2,NC,Sunderer
629,M96 Mjolnir-H,802900,Harasser,1,NC,Sunderer
607,E540 Halberd-H,6118,Harasser,1,VS,Sunderer
591,Hellfire Rocket Pods,4903,Mosquito,2,TR,Sunderer
574,L100 Python HESH,3155,Lightning,1,TR,Sunderer
556,Enforcer ML85,3704,Vanguard,2,NC,Sunderer
544,L100 Python HESH,3153,Lightning,1,VS,Sunderer
538,MR11 Gatekeeper-H,802875,Harasser,1,TR,Sunderer
