num_kills,weapon_name,attacker_weapon_id,vehicle,vehicle_slot_id,weapon_faction,target
18064,C-4,432,,0,None,Sunderer
12589,NS Decimator,50560,,0,None,Sunderer
10284,P2-120 AP,4008,Prowler,1,TR,Sunderer
9212,Titan-150 AP,3730,Vanguard,1,NC,Sunderer
8202,Supernova FPC,3460,Magrider,1,VS,Sunderer
8078,Tank Mine,650,,0,None,Sunderer
7736,Rocklet Rifle,802768,,0,VS,Sunderer
7391,Rocklet Rifle,804940,,0,NC,Sunderer
6954,Rocklet Rifle,804939,,0,TR,Sunderer
5784,L100 Python AP,3103,Lightning,1,VS,Sunderer
5753,Suicide,0,,,,Sunderer
5579,L100 Python AP,3105,Lightning,1,TR,Sunderer
5397,L100 Python AP,3104,Lightning,1,NC,Sunderer
3516,Shrike,84,,0,NC,Sunderer
3496,ML-7,85,,0,TR,Sunderer
3290,S1,86,,0,VS,Sunderer
3281,C75 Viper,3101,Lightning,1,NC,Sunderer
3214,E540 Halberd-H,6118,Harasser,1,VS,Sunderer
3126,C75 Viper,3100,Lightning,1,VS,Sunderer
3064,C75 Viper,3102,Lightning,1,TR,Sunderer
2437,Titan-150 HEAT,3700,Vanguard,1,NC,Sunderer
2364,E540 Halberd,3441,Magrider,2,VS,Sunderer
2289,G20 Vulcan-H,6121,Harasser,1,TR,Sunderer
2275,E540 Halberd-H,6120,Harasser,1,TR,Sunderer
2213,M96 Mjolnir-H,802900,Harasser,1,NC,Sunderer
2178,E540 Halberd-H,6119,Harasser,1,NC,Sunderer
2100,C150 Dalton,5226,Liberator,2,TR,Sunderer
2060,E540 Halberd,3709,Vanguard,2,NC,Sunderer
2041,NSX Masamune,804179,,0,None,Sunderer
2020,NS Annihilator,50561,,0,None,Sunderer
1990,P2-120 HEAT,4000,Prowler,1,TR,Sunderer
1951,C150 Dalton,5224,Liberator,2,VS,Sunderer
1911,L100 Python HEAT,3157,Lightning,1,NC,Sunderer
1880,L100 Python HEAT,3156,Lightning,1,VS,Sunderer
1874,Hunter QCX,2308,,0,None,Sunderer
1805,E540 Halberd,4015,Prowler,2,TR,Sunderer
1777,L100 Python HEAT,3158,Lightning,1,TR,Sunderer
1738,Supernova PC,3400,Magrider,1,VS,Sunderer
1728,C150 Dalton,5225,Liberator,2,NC,Sunderer
1621,Saron HRB,3442,Magrider,2,VS,Sunderer
1246,MR11 Gatekeeper,802874,Prowler,2,TR,Sunderer
1240,M40 Fury-H,6115,Harasser,1,VS,Sunderer
1237,Enforcer ML85,3704,Vanguard,2,NC,Sunderer
1082,Cortium Bomb,6009069,,0,None,Sunderer
1078,C-4 ARX,800623,,0,None,Sunderer
1074,L100 Python HESH,3153,Lightning,1,VS,Sunderer
1063,Titan-150 HESH,3731,Vanguard,1,NC,Sunderer
1021,NC15 Phoenix,33002,,0,NC,Sunderer
1018,Spear Anti-Vehicle Phalanx Turret,703,,1,VS,Sunderer
1018,Hornet Missiles,4446,Scythe,2,VS,Sunderer
982,P2-120 HESH,4009,Prowler,1,TR,Sunderer
968,Hellfire Rocket Pods,4903,Mosquito,2,TR,Sunderer
930,Nemesis VSH9,35004,,0,VS,Sunderer
924,Hornet Missiles,5051,Mosquito,2,TR,Sunderer
919,MR11 Gatekeeper-H,802875,Harasser,1,TR,Sunderer
904,L100 Python HESH,3154,Lightning,1,NC,Sunderer
903,Hawk GD-68,33004,,0,NC,Sunderer
903,NS-AM7 Archer,802771,,0,None,Sunderer
901,Rocklet Rifle,6005191,,0,None,Sunderer
900,Supernova VPC,3461,Magrider,1,VS,Sunderer
889,V30-F Starfall,6004752,,0,VS,Sunderer
888,Spear Anti-Vehicle Phalanx Turret,704,,1,NC,Sunderer
814,Saron HRB-H,6126,Harasser,1,VS,Sunderer
787,,0,,,,Sunderer
770,T2 Striker,34002,,0,TR,Sunderer
766,Spear Anti-Vehicle Phalanx Turret,705,,1,TR,Sunderer
748,L100 Python HESH,3155,Lightning,1,TR,Sunderer
739,Halberd SE,6006399,Vanguard,2,NC,Sunderer
736,L100 Python AP,6005299,Lightning,1,NSO,Sunderer
727,Lancer VS22,35002,,0,VS,Sunderer
712,M40 Fury-F,2512,,0,TR,Sunderer
674,M60-G Bulldog,2832,Sunderer,1,VS,Sunderer
653,Enforcer ML65-H,6123,Harasser,1,NC,Sunderer
651,NS-R3 Swarm,802969,,0,None,Sunderer
651,Aphelion VEX-4H,802898,Harasser,1,VS,Sunderer
635,Anti-Vehicle Grenade,1095,,0,None,Sunderer
625,Breaker Rocket Pods,4601,Reaver,2,NC,Sunderer
615,M40 Fury-F,2510,,0,VS,Sunderer
576,M60-G Bulldog,803494,Ant,2,VS,Sunderer
570,M60-G Bulldog,2833,Sunderer,1,NC,Sunderer
570,M20 Basilisk,2804,Sunderer,1,NC,Sunderer
559,Armory War Asset Orbital Strike,6009044,,0,None,Sunderer
553,Hornet Missiles,4746,Reaver,2,NC,Sunderer
552,M60-G Bulldog,2834,Sunderer,1,TR,Sunderer
538,M20 Basilisk,2805,Sunderer,1,TR,Sunderer
523,C150 Dalton,6005464,Liberator,2,NSO,Sunderer
521,Halberd SE,6006400,Magrider,2,VS,Sunderer
509,M40 Fury-F,2511,,0,NC,Sunderer
498,Halberd-H SE,6006402,Harasser,1,NC,Sunderer
490,M9 SKEP Launcher,34003,,0,TR,Sunderer
475,MANA Anti-Vehicle Turret,501,,0,NC,Sunderer
474,M20 Basilisk,2803,Sunderer,1,VS,Sunderer
471,MR1 Fracture,16031,,0,TR,Sunderer
468,Comet VM2,17001,,0,VS,Sunderer
467,C75 Viper,6005302,Lightning,1,NSO,Sunderer
463,VLG Missile Launcher,6563,Valkyrie,1,NC,Sunderer
453,AP30 Shredder,5210,Liberator,2,NC,Sunderer
450,Dual Photon Pods,4301,Scythe,2,VS,Sunderer
438,Hades VSH4,35003,,0,VS,Sunderer
432,MR1 Fracture,16030,,0,TR,Sunderer
430,VLG Missile Launcher,6564,Valkyrie,1,TR,Sunderer
430,NS Decimator-B,802300,,0,None,Sunderer
423,M60-G Bulldog-H,6113,Harasser,1,NC,Sunderer
414,AP30 Shredder,5211,Liberator,2,VS,Sunderer
411,AP30 Shredder,5209,Liberator,2,TR,Sunderer
410,"NS ""Heatwave"" Decimator",6003611,,0,None,Sunderer
407,Halberd SE,6006398,Prowler,2,TR,Sunderer
402,Halberd-H SE,6006401,Harasser,1,TR,Sunderer
394,MANA Anti-Vehicle Turret,502,,0,TR,Sunderer
390,AF-22 Crow,33003,,0,NC,Sunderer
387,M60-G Bulldog,803495,Ant,2,NC,Sunderer
385,ASP-30 Grounder,34004,,0,TR,Sunderer
382,M60-G Bulldog-H,6114,Harasser,1,TR,Sunderer
374,M40 Fury-H,6117,Harasser,1,TR,Sunderer
357,M60-G Bulldog,2836,Sunderer,2,NC,Sunderer
356,M3 Pounder HEG,15001,,0,TR,Sunderer
352,MANA Anti-Vehicle Turret,503,,0,None,Sunderer
352,,6010049,,,,Sunderer
348,"NS ""Jackpot"" Decimator",6004407,,0,None,Sunderer
346,M20 Basilisk,2811,Sunderer,2,TR,Sunderer
345,Skyguard,3107,Lightning,1,NC,Sunderer
341,M60-G Bulldog,2837,Sunderer,2,TR,Sunderer
335,Halberd-H SE,6006397,Harasser,1,VS,Sunderer
