num_kills,weapon_name,attacker_weapon_id,vehicle,vehicle_slot_id,weapon_faction,target
13388,C-4,432,,0,None,Sunderer
9466,NS Decimator,50560,,0,None,Sunderer
8635,Titan-150 AP,3730,Vanguard,1,NC,Sunderer
8357,P2-120 AP,4008,Prowler,1,TR,Sunderer
6416,Supernova FPC,3460,Magrider,1,VS,Sunderer
6213,Rocklet Rifle,804940,,0,NC,Sunderer
6072,Tank Mine,650,,0,None,Sunderer
5555,Rocklet Rifle,802768,,0,VS,Sunderer
5496,L100 Python AP,3104,Lightning,1,NC,Sunderer
5298,Rocklet Rifle,804939,,0,TR,Sunderer
4574,L100 Python AP,3103,Lightning,1,VS,Sunderer
4251,L100 Python AP,3105,Lightning,1,TR,Sunderer
3953,Suicide,0,,,,Sunderer
2844,Shrike,84,,0,NC,Sunderer
2636,E540 Halberd-H,6120,Harasser,1,TR,Sunderer
2558,ML-7,85,,0,TR,Sunderer
2438,C75 Viper,3101,Lightning,1,NC,Sunderer
2416,S1,86,,0,VS,Sunderer
2389,C150 Dalton,5224,Liberator,2,VS,Sunderer
2270,G20 Vulcan-H,6121,Harasser,1,TR,Sunderer
2240,E540 Halberd-H,6119,Harasser,1,NC,Sunderer
2133,C75 Viper,3100,Lightning,1,VS,Sunderer
2127,E540 Halberd,3709,Vanguard,2,NC,Sunderer
2021,C75 Viper,3102,Lightning,1,TR,Sunderer
1861,E540 Halberd,3441,Magrider,2,VS,Sunderer
1830,L100 Python HEAT,3156,Lightning,1,VS,Sunderer
1826,M96 Mjolnir-H,802900,Harasser,1,NC,Sunderer
1777,Titan-150 HEAT,3700,Vanguard,1,NC,Sunderer
1671,E540 Halberd,4015,Prowler,2,TR,Sunderer
1668,E540 Halberd-H,6118,Harasser,1,VS,Sunderer
1619,C-4 ARX,800623,,0,None,Sunderer
1611,C150 Dalton,5226,Liberator,2,TR,Sunderer
1426,NS Annihilator ,50561,,0,None,Sunderer
1398,P2-120 HESH,4009,Prowler,1,TR,Sunderer
1377,L100 Python HEAT,3157,Lightning,1,NC,Sunderer
1347,P2-120 HEAT,4000,Prowler,1,TR,Sunderer
1335,C150 Dalton,5225,Liberator,2,NC,Sunderer
1286,NSX Masamune,804179,,0,None,Sunderer
1252,L100 Python HEAT,3158,Lightning,1,TR,Sunderer
1166,L100 Python HESH,3155,Lightning,1,TR,Sunderer
1152,Hornet Missiles,5051,Mosquito,2,TR,Sunderer
1148,Saron HRB,3442,Magrider,2,VS,Sunderer
1134,Supernova PC,3400,Magrider,1,VS,Sunderer
1094,NC15 Phoenix,33002,,0,NC,Sunderer
1065,Hunter QCX,2308,,0,None,Sunderer
1048,L100 Python HESH,3154,Lightning,1,NC,Sunderer
991,Hellfire Rocket Pods,4903,Mosquito,2,TR,Sunderer
971,MR11 Gatekeeper,802874,Prowler,2,TR,Sunderer
970,Cortium Bomb,6009069,,0,None,Sunderer
946,Hornet Missiles,4446,Scythe,2,VS,Sunderer
879,Hawk GD-68,33004,,0,NC,Sunderer
846,Enforcer ML85,3704,Vanguard,2,NC,Sunderer
844,L100 Python HESH,3153,Lightning,1,VS,Sunderer
805,Nemesis VSH9,35004,,0,VS,Sunderer
778,T2 Striker,34002,,0,TR,Sunderer
740,M60-G Bulldog-H,6114,Harasser,1,TR,Sunderer
716,Titan-150 HESH,3731,Vanguard,1,NC,Sunderer
686,M40 Fury-F,2511,,0,NC,Sunderer
671,Saron HRB-H,6126,Harasser,1,VS,Sunderer
663,Breaker Rocket Pods,4601,Reaver,2,NC,Sunderer
654,Spear Anti-Vehicle Phalanx Turret,704,,1,NC,Sunderer
651,Spear Anti-Vehicle Phalanx Turret,703,,1,VS,Sunderer
635,M40 Fury-F,2512,,0,TR,Sunderer
601,Supernova VPC,3461,Magrider,1,VS,Sunderer
601,NS-AM7 Archer,802771,,0,None,Sunderer
589,M40 Fury-H,6117,Harasser,1,TR,Sunderer
561,M60-G Bulldog,2833,Sunderer,1,NC,Sunderer
555,NS-R3 Swarm,802969,,0,None,Sunderer
554,Spear Anti-Vehicle Phalanx Turret,705,,1,TR,Sunderer
543,Dual Photon Pods,4301,Scythe,2,VS,Sunderer
539,Hornet Missiles,4746,Reaver,2,NC,Sunderer
528,M60-G Bulldog,2832,Sunderer,1,VS,Sunderer
508,,0,,,,Sunderer
493,M40 Fury-F,2510,,0,VS,Sunderer
490,Anti-Vehicle Grenade,1095,,0,None,Sunderer
486,Hades VSH4,35003,,0,VS,Sunderer
471,ASP-30 Grounder,34004,,0,TR,Sunderer
460,VLG Missile Launcher,6564,Valkyrie,1,TR,Sunderer
449,V30-F Starfall,6004752,,0,VS,Sunderer
444,Halberd SE,6006399,Vanguard,2,NC,Sunderer
442,Armory War Asset Orbital Strike,6009044,,0,None,Sunderer
430,MR11 Gatekeeper-H,802875,Harasser,1,TR,Sunderer
423,M20 Basilisk,2805,Sunderer,1,TR,Sunderer
422,M40 Fury-H,6115,Harasser,1,VS,Sunderer
410,M20 Basilisk,2804,Sunderer,1,NC,Sunderer
401,Lancer VS22,35002,,0,VS,Sunderer
399,Halberd-H SE,6006401,Harasser,1,TR,Sunderer
384,M9 SKEP Launcher,34003,,0,TR,Sunderer
370,AF-22 Crow,33003,,0,NC,Sunderer
367,CAS30 Tank Buster,5215,Liberator,1,VS,Sunderer
360,G30 Vulcan,4029,Prowler,2,TR,Sunderer
355,Enforcer ML65-H,6123,Harasser,1,NC,Sunderer
355,M20 Basilisk,2803,Sunderer,1,VS,Sunderer
348,M40 Fury-H,6116,Harasser,1,NC,Sunderer
340,MR1 Fracture,16030,,0,TR,Sunderer
337,M60-G Bulldog,2834,Sunderer,1,TR,Sunderer
332,L100 Python AP,6005299,Lightning,1,NSO,Sunderer
326,Halberd SE,6006398,Prowler,2,TR,Sunderer
320,M96 Mjolnir,802899,Vanguard,2,NC,Sunderer
320,Halberd SE,6006400,Magrider,2,VS,Sunderer
319,M60-G Bulldog,2835,Sunderer,2,VS,Sunderer
314,MR1 Fracture,16031,,0,TR,Sunderer
306,MANA Anti-Vehicle Turret,503,,0,None,Sunderer
297,AP30 Shredder,5209,Liberator,2,TR,Sunderer
297,MANA Anti-Vehicle Turret,502,,0,TR,Sunderer
289,Comet VM2,17001,,0,VS,Sunderer
285,M60-G Bulldog,2836,Sunderer,2,NC,Sunderer
283,Mammoth Cannon,6003420,,0,VS,Sunderer
283,CAS30 Tank Buster,5216,Liberator,1,NC,Sunderer
276,Halberd-H SE,6006397,Harasser,1,VS,Sunderer
272,Aphelion VEX-4H,802898,Harasser,1,VS,Sunderer
269,Skyguard,3107,Lightning,1,NC,Sunderer
268,"NS ""Heatwave"" Decimator",6003611,,0,None,Sunderer
264,NS Decimator-B,802300,,0,None,Sunderer
260,M60-A Bulldog,5221,Liberator,10,VS,Sunderer
259,MANA Anti-Vehicle Turret,501,,0,NC,Sunderer
258,M60-G Bulldog-H,6113,Harasser,1,NC,Sunderer
258,LB00 Python AP,6005070,Lightning,1,VS,Sunderer
257,M60-G Bulldog,2837,Sunderer,2,TR,Sunderer
257,M3 Pounder HEG,15001,,0,TR,Sunderer
