num_kills,weapon_name,attacker_weapon_id,vehicle,vehicle_slot_id,weapon_faction,target
8641,C-4,432,,0,None,Sunderer
6958,NS Decimator,50560,,0,None,Sunderer
6688,P2-120 AP,4008,Prowler,1,TR,Sunderer
5595,Titan-150 AP,3730,Vanguard,1,NC,Sunderer
3990,Rocklet Rifle,804940,,0,NC,Sunderer
3894,Supernova FPC,3460,Magrider,1,VS,Sunderer
3840,Tank Mine,650,,0,None,Sunderer
3634,Rocklet Rifle,804939,,0,TR,Sunderer
3273,L100 Python AP,3105,Lightning,1,TR,Sunderer
3231,Suicide,0,,,,Sunderer
3007,L100 Python AP,3104,Lightning,1,NC,Sunderer
2886,Rocklet Rifle,802768,,0,VS,Sunderer
2361,Shrike,84,,0,NC,Sunderer
2307,L100 Python AP,3103,Lightning,1,VS,Sunderer
1990,ML-7,85,,0,TR,Sunderer
1835,C75 Viper,3102,Lightning,1,TR,Sunderer
1670,C75 Viper,3101,Lightning,1,NC,Sunderer
1669,E540 Halberd,3709,Vanguard,2,NC,Sunderer
1612,G20 Vulcan-H,6121,Harasser,1,TR,Sunderer
1579,Titan-150 HEAT,3700,Vanguard,1,NC,Sunderer
1463,S1,86,,0,VS,Sunderer
1339,L100 Python HESH,3154,Lightning,1,NC,Sunderer
1284,E540 Halberd,4015,Prowler,2,TR,Sunderer
1281,P2-120 HESH,4009,Prowler,1,TR,Sunderer
1278,NC15 Phoenix,33002,,0,NC,Sunderer
1269,Saron HRB,3442,Magrider,2,VS,Sunderer
1257,NS Annihilator ,50561,,0,None,Sunderer
1226,C75 Viper,3100,Lightning,1,VS,Sunderer
1165,C150 Dalton,5225,Liberator,2,NC,Sunderer
1131,L100 Python HESH,3155,Lightning,1,TR,Sunderer
1097,M96 Mjolnir-H,802900,Harasser,1,NC,Sunderer
1067,P2-120 HEAT,4000,Prowler,1,TR,Sunderer
1051,L100 Python HEAT,3157,Lightning,1,NC,Sunderer
965,L100 Python HEAT,3158,Lightning,1,TR,Sunderer
883,Hellfire Rocket Pods,4903,Mosquito,2,TR,Sunderer
878,E540 Halberd-H,6120,Harasser,1,TR,Sunderer
871,Supernova PC,3400,Magrider,1,VS,Sunderer
860,Breaker Rocket Pods,4601,Reaver,2,NC,Sunderer
845,Halberd SE,6006399,Vanguard,2,NC,Sunderer
836,T2 Striker,34002,,0,TR,Sunderer
803,Titan-150 HESH,3731,Vanguard,1,NC,Sunderer
786,C150 Dalton,5226,Liberator,2,TR,Sunderer
750,E540 Halberd,3441,Magrider,2,VS,Sunderer
717,Hunter QCX,2308,,0,None,Sunderer
700,MR11 Gatekeeper-H,802875,Harasser,1,TR,Sunderer
679,NSX Masamune,804179,,0,None,Sunderer
652,,0,,,,Sunderer
648,Supernova VPC,3461,Magrider,1,VS,Sunderer
644,Hornet Missiles,5051,Mosquito,2,TR,Sunderer
639,MR11 Gatekeeper,802874,Prowler,2,TR,Sunderer
620,C150 Dalton,5224,Liberator,2,VS,Sunderer
603,L100 Python HEAT,3156,Lightning,1,VS,Sunderer
597,L100 Python HESH,3153,Lightning,1,VS,Sunderer
591,Enforcer ML85,3704,Vanguard,2,NC,Sunderer
573,M40 Fury-F,2511,,0,NC,Sunderer
547,AP30 Shredder,5210,Liberator,2,NC,Sunderer
536,Hornet Missiles,4746,Reaver,2,NC,Sunderer
527,M40 Fury-F,2512,,0,TR,Sunderer
526,NS-R3 Swarm,802969,,0,None,Sunderer
512,V30-F Starfall,6004752,,0,VS,Sunderer
456,Hawk GD-68,33004,,0,NC,Sunderer
452,Cortium Bomb,6009069,,0,None,Sunderer
425,E540 Halberd-H,6119,Harasser,1,NC,Sunderer
419,Halberd SE,6006398,Prowler,2,TR,Sunderer
392,Dual Photon Pods,4301,Scythe,2,VS,Sunderer
382,Halberd SE,6006400,Magrider,2,VS,Sunderer
374,Spear Anti-Vehicle Phalanx Turret,705,,1,TR,Sunderer
370,Spear Anti-Vehicle Phalanx Turret,704,,1,NC,Sunderer
364,Hornet Missiles,4446,Scythe,2,VS,Sunderer
347,Nemesis VSH9,35004,,0,VS,Sunderer
345,Lancer VS22,35002,,0,VS,Sunderer
340,C-4 ARX,800623,,0,None,Sunderer
327,Saron HRB-H,6126,Harasser,1,VS,Sunderer
327,Armory War Asset Orbital Strike,6009044,,0,None,Sunderer
327,E540 Halberd-H,6118,Harasser,1,VS,Sunderer
301,"NS ""Heatwave"" Decimator",6003611,,0,None,Sunderer
301,AP30 Shredder,5209,Liberator,2,TR,Sunderer
285,AP30 Shredder,5211,Liberator,2,VS,Sunderer
277,M60-G Bulldog,2833,Sunderer,1,NC,Sunderer
275,Spear Anti-Vehicle Phalanx Turret,703,,1,VS,Sunderer
272,LB00 Python AP,6005068,Lightning,1,NC,Sunderer
257,M40 Fury-H,6115,Harasser,1,VS,Sunderer
250,Anti-Vehicle Grenade,1095,,0,None,Sunderer
246,M3 Pounder HEG,15001,,0,TR,Sunderer
244,AF-22 Crow,33003,,0,NC,Sunderer
240,NS-AM7 Archer,802771,,0,None,Sunderer
223,MR1 Fracture,16030,,0,TR,Sunderer
222,M40 Fury-F,2510,,0,VS,Sunderer
220,M60-G Bulldog,2836,Sunderer,2,NC,Sunderer
217,MR1 Fracture,16031,,0,TR,Sunderer
216,Mammoth Cannon,6008734,,0,NC,Sunderer
211,,6010049,,,,Sunderer
210,Orbital Strike Uplink,6002524,,0,NC,Sunderer
202,Orbital Strike Uplink,6002525,,0,TR,Sunderer
202,The Flail,6004445,,0,NC,Sunderer
201,M60-G Bulldog,2834,Sunderer,1,TR,Sunderer
192,Mammoth Cannon,6008735,,0,TR,Sunderer
189,The Kraken,1964,,0,None,Sunderer
185,NCM2 Falcon,16001,,0,NC,Sunderer
179,Halberd-H SE,6006401,Harasser,1,TR,Sunderer
178,M3 Pounder HEG,15013,,0,TR,Sunderer
178,M9 SKEP Launcher,34003,,0,TR,Sunderer
174,M20 Basilisk,2804,Sunderer,1,NC,Sunderer
172,NS Decimator-B,802300,,0,None,Sunderer
171,The Flail,6004444,,0,TR,Sunderer
170,M20 Mustang,4600,Reaver,1,NC,Sunderer
170,M60-G Bulldog,2832,Sunderer,1,VS,Sunderer
167,MANA Anti-Vehicle Turret,503,,0,None,Sunderer
166,"NS ""Jackpot"" Decimator",6004407,,0,None,Sunderer
166,Hades VSH4,35003,,0,VS,Sunderer
